Image File,Y Channel Value
BookOfMaking.00012.02,220.4040184
BookOfMaking.00014.01,89.36045074
BookOfMaking.00021.02,226.6430244
BookOfMaking.00040.01,233.6956024
BookOfMaking.00048.01,242.7577972
BookOfMaking.00049.01,241.3530464
BookOfMaking.00066.02,120.3399963
BookOfMaking.00171.01,225.5540848
BookOfMaking.00171.02,230.5028687
BookOfMaking.00172.01,223.8128929
BookOfMaking.00180.02,218.0840034
BuildYourOwnFirstPersonShooterInUnity.00025.01,208.3013115
BuildYourOwnFirstPersonShooterInUnity.00043.01,242.309845
BuildYourOwnFirstPersonShooterInUnity.00055.02,121.4686775
BuildYourOwnFirstPersonShooterInUnity.00060.01,242.0491638
BuildYourOwnFirstPersonShooterInUnity.00078.02,239.6807518
BuildYourOwnFirstPersonShooterInUnity.00087.01,227.4298325
BuildYourOwnFirstPersonShooterInUnity.00088.01,208.4319649
BuildYourOwnFirstPersonShooterInUnity.00104.02,238.8248634
BuildYourOwnFirstPersonShooterInUnity.00105.02,239.0259476
BuildYourOwnFirstPersonShooterInUnity.00109.01,166.9344215
BuildYourOwnFirstPersonShooterInUnity.00125.02,161.6928635
CreateGraphicalUserInterfacesWithPython.00031.01,231.0447464
CreateGraphicalUserInterfacesWithPython.00049.02,232.601162
CreateGraphicalUserInterfacesWithPython.00072.01,229.4443703
CreateGraphicalUserInterfacesWithPython.00090.01,239.9718437
CreateGraphicalUserInterfacesWithPython.00099.02,241.755394
CreateGraphicalUserInterfacesWithPython.00103.01,236.4417572
CreateGraphicalUserInterfacesWithPython.00104.01,234.9764748
CreateGraphicalUserInterfacesWithPython.00126.02,242.2435226
CreateGraphicalUserInterfacesWithPython.00148.01,193.3126106
EssentialsAIYProjectsVoice.00007.02,221.5552406
EssentialsAIYProjectsVoice.00026.02,191.1048317
EssentialsAIYProjectsVoice.00063.02,245.7995453
GetStartedArduino.00009.02,109.5317535
GetStartedArduino.00022.01,224.2665443
GetStartedArduino.00049.02,175.1746941
GetStartedArduino.00072.02,213.6959114
GetStartedArduino.00095.02,195.7584152
GetStartedArduino.00104.01,214.0950508
GetStartedArduino.00148.01,227.4818954
GetStartedArduino.00166.02,113.9228592
GetStartedArduino.00167.02,105.0441017
GetStartedMicroPython.00026.02,233.0782776
GetStartedMicroPython.00038.01,225.1290436
GetStartedMicroPython.00047.02,240.1856537
GetStartedMicroPython.00064.02,238.3892021
GetStartedMicroPython.00065.01,244.8145599
GetStartedMicroPython.00076.01,243.4765282
GetStartedMicroPython.00101.01,185.8576698
GetStartedMicroPython.00139.01,187.7619667
HackSpace36.00023.01,215.4953117
HackSpace36.00029.02,211.3788872
HackSpace36.00038.02,91.64248657
HackSpace36.00039.02,110.8584061
HackSpace36.00043.02,89.40610123
HackSpace36.00072.02,242.1228142
HackSpace36.00079.01,135.9790001
HackSpace36.00089.01,157.735405
HackSpace36.00104.02,209.19701
HackSpace36.00115.01,41.991539
HackSpace37.00004.02,138.1079292
HackSpace37.00015.02,110.9210014
HackSpace37.00037.01,83.24633789
HackSpace37.00062.02,33.11962891
HackSpace37.00112.02,219.5749321
HackSpace38.00001.02,129.581955
HackSpace38.00063.01,190.2435036
HackSpace38.00064.02,101.3504944
HackSpace38.00073.02,198.9393501
HackSpace38.00077.02,242.7576752
HackSpace38.00095.02,207.5730324
HackSpace38.00105.02,175.6425323
HackSpace38.00112.01,224.9794464
HackSpace40.00041.01,153.0634422
HackSpace40.00052.02,149.0299072
HackSpace40.00060.02,174.1135635
HackSpace40.00067.02,176.2110481
HackSpace40.00069.01,198.7610703
HackSpace40.00077.02,244.8867683
HackSpace41.00021.01,115.082653
HackSpace41.00035.02,121.9884415
HackSpace41.00046.01,132.697361
HackSpace41.00051.01,139.022377
HackSpace41.00078.01,206.5312233
HackSpace42.00007.01,182.5740395
HackSpace42.00030.02,236.0999031
HackSpace42.00038.01,133.8437462
HackSpace42.00049.02,100.5765305
HackSpace42.00061.01,103.6139488
HackSpace42.00066.01,89.10401917
HackSpace42.00088.02,238.0687065
HackSpace42.00090.02,222.904583
HackSpace42.00116.02,96.29856873
HackSpace43.00014.01,222.6949883
HackSpace43.00023.01,141.7844925
HackSpace43.00023.02,241.5072289
HackSpace43.00029.02,192.7001877
HackSpace43.00035.01,202.3474274
HackSpace43.00047.01,134.5089149
HackSpace43.00047.02,123.7457542
HackSpace43.00057.02,130.5445938
HackSpace43.00059.02,185.0880394
HackSpace43.00064.01,158.1242409
HackSpace43.00065.02,187.0920868
HackSpace43.00071.02,226.0707779
HackSpace43.00102.01,111.6780663
HackSpace43.00109.01,174.0267334
HackSpace43.00110.02,201.91605
HackSpace44.00011.02,79.4785347
HackSpace44.00023.01,143.6276093
HackSpace44.00023.02,99.60279846
HackSpace44.00024.02,178.0981941
HackSpace44.00064.01,197.7020111
HackSpace44.00078.01,232.4212532
HackSpace44.00101.01,238.0360374
HackSpace44.00109.01,168.420742
HackSpace44.00114.01,115.2904282
HackSpace45.00044.02,157.6741104
HackSpace46.00056.02,107.2848663
HackSpace46.00075.02,228.1366386
HackSpace46.00078.02,240.1973686
HackSpace46.00104.02,128.6569595
HackSpace46.00107.01,156.0793381
HackSpace47.00006.01,145.811676
HackSpace47.00024.02,94.5807991
HackSpace47.00074.01,233.2947388
HackSpace47.00097.02,235.2222977
HackSpace47.00110.01,232.1719627
HackSpace50.00001.01,118.0957031
HackSpace50.00001.02,68.58516312
HackSpace50.00018.02,203.8327522
HackSpace50.00070.02,77.89195251
HackSpace50.00085.01,232.8059692
HackSpace50.00099.02,241.0448723
HackSpace50.00113.02,190.5265503
HackSpace51.00018.01,233.2916374
HackSpace51.00027.01,183.748188
HackSpace51.00054.01,214.3606339
HackSpace51.00072.02,203.0392265
HackSpace51.00102.02,173.5506897
MagPi046.00093.02,176.0022278
MagPi047.00011.02,143.4775658
MagPi047.00020.02,73.24588776
MagPi047.00027.01,107.7055092
MagPi047.00048.02,233.9120674
MagPi047.00054.01,198.6638947
MagPi047.00063.02,215.3836975
MagPi048.00004.01,147.0561905
MagPi048.00012.01,189.9501648
MagPi048.00013.01,200.2227707
MagPi048.00037.01,145.3963509
MagPi048.00047.01,227.5157623
MagPi048.00090.02,175.3165321
MagPi048.00096.02,238.3590927
MagPi049.00091.02,163.6841164
MagPi050.00034.01,93.29526138
MagPi050.00055.02,234.5156822
MagPi050.00058.02,243.5753746
MagPi050.00084.01,192.9883423
MagPi050.00099.02,240.3887215
MagPi051.00016.01,105.9528008
MagPi051.00040.02,203.4430733
MagPi051.00057.02,243.1236
MagPi051.00067.02,72.22889709
MagPi051.00078.01,220.0334129
MagPi051.00079.02,193.8762932
MagPi051.00086.01,175.2215004
MagPi052.00002.01,163.9837608
MagPi052.00004.02,141.9447632
MagPi052.00058.02,220.0062943
MagPi052.00066.02,97.40587997
MagPi056.00035.01,82.52538681
MagPi056.00048.02,176.251461
MagPi056.00074.01,212.7652893
MagPi056.00075.01,182.6705818
MagPi056.00088.02,155.5381165
MagPi056.00094.02,201.3883438
MagPi057.00043.01,175.6395378
MagPi057.00052.01,196.321888
MagPi057.00057.02,202.5859604
MagPi058.00031.02,243.9324608
MagPi058.00072.01,192.2941284
MagPi058.00073.02,214.704483
MagPi058.00074.02,95.53414154
MagPi058.00082.02,210.4754906
MagPi058.00098.02,236.5351486
MagPi059.00012.01,162.9942513
MagPi059.00013.01,161.7048454
MagPi059.00019.01,192.8186226
MagPi059.00035.02,184.2015305
MagPi059.00037.01,138.7479973
MagPi059.00067.01,155.6551933
MagPi060.00027.01,183.6326981
MagPi060.00040.02,165.8239937
MagPi060.00048.02,238.8103676
MagPi060.00068.01,191.8219185
MagPi060.00095.01,188.4621277
MagPi061.00010.01,208.8194427
MagPi061.00014.02,164.1058846
MagPi061.00034.02,52.19601822
MagPi061.00065.01,207.2380753
MagPi061.00074.02,235.8903656
MagPi061.00080.01,202.9351959
MagPi061.00081.02,218.9573898
MagPi061.00085.01,172.4165955
MagPi062.00008.01,188.3120499
MagPi062.00066.01,81.75737762
MagPi062.00081.01,210.188839
MagPi063.00001.01,117.3317528
MagPi063.00007.01,187.0147667
MagPi063.00038.02,224.7433739
MagPi063.00044.02,234.6170845
MagPi063.00057.02,196.9278641
MagPi063.00079.02,237.2957306
MagPi063.00083.01,202.1408424
MagPi064.00059.01,159.3926582
MagPi064.00075.01,177.3287201
MagPi065.00025.02,105.0901337
MagPi065.00027.02,103.7085152
MagPi065.00029.01,190.7737656
MagPi065.00070.01,218.4961128
MagPi065.00074.02,224.8488808
MagPi065.00075.01,184.2475471
MagPi065.00084.01,165.4613838
MagPi066.00008.02,224.7287254
MagPi066.00023.01,55.11746597
MagPi066.00023.02,83.1705513
MagPi066.00044.01,215.478405
MagPi066.00065.02,129.2382774
MagPi067.00028.01,123.6707382
MagPi067.00031.02,122.3600464
MagPi067.00057.02,189.3967552
MagPi067.00071.02,218.6099281
MagPi067.00083.02,216.6862717
MagPi067.00097.01,182.7926636
MagPi068.00005.02,208.0413857
MagPi068.00026.01,87.95824051
MagPi068.00027.01,111.7363129
MagPi068.00048.01,217.2441673
MagPi068.00069.01,180.1486015
MagPi068.00079.02,184.0833435
MagPi068.00092.02,188.8601761
MagPi068.00098.02,236.2531128
MagPi070.00014.01,229.8538551
MagPi070.00035.02,132.1216316
MagPi070.00042.01,228.562645
MagPi070.00052.02,223.1276054
MagPi070.00057.02,198.9849205
MagPi070.00067.01,207.6618004
MagPi071.00041.02,207.8850021
MagPi071.00051.02,232.3564491
MagPi071.00058.01,232.0455284
MagPi072.00040.01,234.0351868
MagPi072.00042.02,167.0931969
MagPi072.00043.01,228.753479
MagPi072.00059.01,212.9719315
MagPi072.00063.01,172.816021
MagPi072.00086.01,145.8347168
MagPi073.00003.01,217.7821999
MagPi073.00018.01,186.8023071
MagPi073.00028.02,56.07755661
MagPi073.00065.01,106.1086044
MagPi073.00067.01,133.5334129
MagPi073.00084.01,157.8391724
MagPi074.00009.02,82.45204544
MagPi074.00018.01,178.755806
MagPi074.00036.01,243.3393974
MagPi074.00047.02,224.9103851
MagPi074.00073.02,97.94263458
MagPi075.00004.02,140.0313644
MagPi075.00039.02,78.63316345
MagPi076.00038.01,173.9120178
MagPi077.00001.02,163.0775795
MagPi077.00010.01,229.7848511
MagPi077.00047.01,246.3834839
MagPi077.00055.01,243.6197891
MagPi077.00057.01,215.7366524
MagPi079.00011.01,238.6059341
MagPi079.00017.02,150.0748482
MagPi079.00062.02,242.638916
MagPi079.00071.01,236.350502
MagPi079.00097.02,113.5385475
MagPi086.00019.01,150.6783142
MagPi086.00022.02,127.7178688
MagPi086.00028.01,203.5441513
MagPi086.00031.02,194.7562141
MagPi086.00054.01,243.0173759
MagPi086.00075.01,106.7376785
MagPi089.00017.01,133.6249619
MagPi089.00019.01,183.8336678
MagPi089.00027.01,159.7769203
MagPi089.00046.02,240.1051941
MagPi089.00057.01,245.1995239
MagPi089.00064.02,224.1196671
MagPi089.00074.02,211.9069786
MagPi089.00075.01,158.2566757
MagPi089.00090.02,235.6308212
MagPi091.00003.01,239.5037003
MagPi091.00008.02,221.9680824
MagPi091.00023.02,217.7877541
MagPi091.00040.01,93.56324768
MagPi091.00063.01,102.4773369
MagPi091.00067.02,166.1848183
MagPi092.00051.02,236.2061653
MagPi092.00058.02,149.6813431
MagPi092.00078.01,240.6113548
MagPi092.00083.02,234.6060257
MagPi093.00003.02,210.4111023
MagPi093.00008.01,120.8043022
MagPi093.00085.02,234.4277649
MagPi094.00028.02,191.584156
MagPi094.00060.01,195.11129
MagPi095.00007.01,109.8424568
MagPi095.00028.01,113.1718788
MagPi095.00045.02,239.3948708
MagPi096.00009.02,200.294384
MagPi096.00098.01,234.5700874
MagPi097.00008.02,225.3557091
MagPi097.00015.02,175.560009
MagPi097.00034.02,199.3861198
MagPi097.00047.02,211.5491333
MagPi097.00062.01,237.7274208
MagPi097.00081.01,213.4675598
MagPi097.00098.01,233.8022728
MagPi098.00010.02,208.6828346
